UserID,TotalCourses,AvgSpending,DiversityScore,AvgRating,EnrollmentFrequency,UserName,Age,Gender,Email,CourseCategory,CourseLevel,LearningDepthIndex,Cluster
U00003,11,55.81636363636364,7,2.889090909090909,11,morrisonamanda,33,0,ganderson@yahoo.com,8,0,1.0,2
U00004,13,75.54230769230769,8,3.4515384615384614,13,fthornton,23,0,christensencatherine@outlook.com,5,2,0.8,2
U00005,2,173.355,2,2.0549999999999997,2,fostergeoffrey,21,1,karenfuentes@yahoo.com,9,0,1.0,0
U00010,2,163.01,2,3.165,2,qlam,34,0,brian31@outlook.com,0,1,0.5,3
U00011,2,149.785,2,3.205,2,ashley16,15,0,guzmanantonio@outlook.com,3,0,1.0,3
U00012,2,163.995,2,1.5150000000000001,2,mirandatimothy,15,0,paula93@outlook.com,4,0,1.0,3
U00013,14,102.3092857142857,8,2.869285714285714,14,cherrykathleen,33,0,michelewatkins@outlook.com,7,0,1.0,2
U00015,14,145.36142857142858,10,2.7607142857142857,14,tbaker,27,0,kelly33@yahoo.com,0,1,0.5,2
U00017,3,321.06,3,4.6499999999999995,3,theresa55,24,1,pachecojeremy@gmail.com,0,1,0.3333333333333333,3
U00018,16,91.751875,9,3.1081250000000002,16,nicole97,24,0,aprilharrell@hotmail.com,0,1,0.625,2
U00021,2,88.67,2,3.135,2,autumn63,15,1,julieestrada@hotmail.com,2,0,3.0,0
U00025,4,29.76,4,2.605,4,georgewhite,34,1,jamesbradshaw@hotmail.com,6,0,1.5,0
U00027,2,0.0,2,2.915,2,hunter32,31,1,ronaldthomas@yahoo.com,2,0,2.0,0
U00028,12,84.38833333333334,9,3.015,12,zgomez,30,0,rwhitaker@outlook.com,6,1,0.8333333333333334,2
U00034,2,124.05,2,2.67,2,ilopez,32,0,scottwatts@yahoo.com,0,1,0.3333333333333333,3
U00037,2,0.0,2,1.9849999999999999,2,lisabraun,31,0,ericbrown@hotmail.com,2,0,3.0,0
U00041,2,163.01,2,3.5650000000000004,2,april65,19,0,imccarthy@yahoo.com,1,1,0.5,3
U00045,14,86.41357142857143,9,3.375,14,rodneystevens,23,0,mitchellwilliam@yahoo.com,10,1,0.5714285714285714,2
U00046,2,0.0,2,1.325,2,usimpson,29,0,hmarquez@hotmail.com,4,0,1.0,0
U00048,13,27.45307692307692,9,3.329230769230769,13,willie71,19,1,zgarza@hotmail.com,4,1,0.7142857142857143,2
U00055,16,90.515625,9,3.055625,16,hallandrea,31,0,michelle73@gmail.com,4,0,2.5,2
U00056,2,0.0,2,2.745,2,vcrawford,22,0,markfinley@gmail.com,4,0,1.0,0
U00060,4,13.465,3,3.515,4,albert28,26,1,stephanie43@yahoo.com,6,1,0.25,1
U00063,2,149.785,2,3.31,2,lisawong,34,0,denise33@outlook.com,3,1,0.3333333333333333,3
U00069,2,0.0,2,3.67,2,gainesandrew,27,0,woodashley@outlook.com,4,0,2.0,0
U00070,2,0.0,2,4.6899999999999995,2,mgonzales,25,0,vwang@gmail.com,5,2,0.0,1
U00071,14,45.85285714285715,8,2.777857142857143,14,kevin94,30,0,gonzalezchristine@hotmail.com,9,1,0.625,2
U00074,3,321.06,2,3.5233333333333334,3,nunezapril,19,1,hancocksteven@hotmail.com,9,1,0.25,3
U00076,4,118.07,4,3.0949999999999998,4,justinwatkins,34,1,amyanderson@hotmail.com,1,1,0.5,3
U00083,15,110.75333333333333,9,2.9953333333333334,15,james92,16,1,kconrad@gmail.com,0,2,1.0,2
U00085,13,88.39384615384614,7,2.9084615384615384,13,scottluna,22,0,adam86@yahoo.com,2,1,0.5,2
U00086,4,13.465,4,2.47,4,nicole62,27,0,anewton@yahoo.com,1,0,1.5,0
U00087,3,0.0,3,4.506666666666667,3,sjoseph,19,0,jacqueline74@yahoo.com,7,2,0.5,1
U00092,4,148.7025,4,2.7175000000000002,4,carl44,31,1,sabrina47@yahoo.com,0,0,1.0,3
U00096,4,0.0,3,2.58,4,wesley99,34,0,xdavis@hotmail.com,7,1,0.3333333333333333,1
U00097,2,0.0,2,2.0949999999999998,2,donnawilliams,25,1,guzmanchristine@gmail.com,2,0,3.0,0
U00106,2,28.66,2,3.4400000000000004,2,sharonmurphy,19,1,cathy60@yahoo.com,5,0,1.0,0
